.ki, 1.751, 3.502, 5.253, 7.004, 8.755, 10.506, 12.257, 14.008, 15.759, 17.51, 28.017
.pro, 3.99, 22.34, 40.69, 59.04, 77.39, 95.74, 114.09, 132.44, 150.79, 169.14, 669.6
.com.ng, 4.99, 9.98, 14.97, 19.96, 24.95, 29.94, 34.93, 39.92, 44.91, 49.9, -
.nl, 5.99, 11.98, 17.97, 23.96, 29.95, 35.94, 41.93, 47.92, 53.91, 59.9, 420.0
.org, 7.48, 19.96, 32.44, 44.92, 57.4, 69.88, 82.36, 94.84, 107.32, 119.8, 420.0
.com, 8.49, 16.98, 25.47, 33.96, 42.45, 50.94, 59.43, 67.92, 76.41, 84.9, 399.0
.us, 8.49, 16.98, 25.47, 33.96, 42.45, 50.94, 59.43, 67.92, 76.41, 84.9, 399.0
.net, 9.95, 19.9, 29.85, 39.8, 49.75, 59.7, 69.65, 79.6, 89.55, 99.5, 420.0
.com.de, 9.99, 19.98, 29.97, 39.96, 49.95, 59.94, 69.93, 79.92, 89.91, 99.9, 686.08
.org.ng, 9.99, 19.98, 29.97, 39.96, 49.95, 59.94, 69.93, 79.92, 89.91, 99.9, -
.uk, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 560.0
.biz.pl, 11.27, 22.54, 33.81, 45.08, 56.35, 67.62, 78.89, 90.16, 101.43, 112.7, 180.32
.net.pl, 11.27, 22.54, 33.81, 45.08, 56.35, 67.62, 78.89, 90.16, 101.43, 112.7, 180.32
.co.uk, 13.69, 27.38, 41.07, 54.76, 68.45, 82.14, 95.83, 109.52, 123.21, 136.9, 399.0
.org.uk, 13.69, 27.38, 41.07, 54.76, 68.45, 82.14, 95.83, 109.52, 123.21, 136.9, 519.04
.co.nl, 13.77, 27.54, 41.31, 55.08, 68.85, 82.62, 96.39, 110.16, 123.93, 137.7, 320.32
.tel, 14.84, 29.68, 44.52, 59.36, 74.2, 89.04, 103.88, 118.72, 133.56, 148.4, 237.44
.cx, 14.95, 29.9, 44.85, 59.8, 74.75, 89.7, 104.65, 119.6, 134.55, 149.5, 560.32
.biz, 14.99, 29.98, 44.97, 59.96, 74.95, 89.94, 104.93, 119.92, 134.91, 149.9, 420.0
.移动, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0, 135.0, 150.0, 640.0
.ca, 15.03, 30.06, 45.09, 60.12, 75.15, 90.18, 105.21, 120.24, 135.27, 150.3, 540.48
.wf, 15.15, 30.3, 45.45, 60.6, 75.75, 90.9, 106.05, 121.2, 136.35, 151.5, 542.4
.es, 16.53, 33.06, 49.59, 66.12, 82.65, 99.18, 115.71, 132.24, 148.77, 165.3, 420.0
.co.at, 18.96, 37.92, 56.88, 75.84, 94.8, 113.76, 132.72, 151.68, 170.64, 189.6, 603.36
.or.at, 18.96, 37.92, 56.88, 75.84, 94.8, 113.76, 132.72, 151.68, 170.64, 189.6, 603.36
.lt, 19.12, 38.24, 57.36, 76.48, 95.6, 114.72, 133.84, 152.96, 172.08, 191.2, 405.92
.рф, 19.44, 38.88, 58.32, 77.76, 97.2, 116.64, 136.08, 155.52, 174.96, 194.4, 511.04
.ar.com, 20.25, 40.5, 60.75, 81.0, 101.25, 121.5, 141.75, 162.0, 182.25, 202.5, 324.0
.com.lc, 22.77, 45.54, 68.31, 91.08, 113.85, 136.62, 159.39, 182.16, 204.93, 227.7, 364.32
.net.lc, 22.77, 45.54, 68.31, 91.08, 113.85, 136.62, 159.39, 182.16, 204.93, 227.7, 364.32
.co.cm, 24.47, 48.94, 73.41, 97.88, 122.35, 146.82, 171.29, 195.76, 220.23, 244.7, 391.52
.ie, 24.99, 49.98, 74.97, 99.96, 124.95, 149.94, 174.93, 199.92, 224.91, 249.9, -
.co, 25.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 225.0, 250.0, 620.0
.org.ht, 25.3, 50.6, 75.9, 101.2, 126.5, 151.8, 177.1, 202.4, 227.7, 253.0, 404.8
.qc.com, 25.3, 50.6, 75.9, 101.2, 126.5, 151.8, 177.1, 202.4, 227.7, 253.0, 404.8
.com.bz, 28.18, 56.36, 84.54, 112.72, 140.9, 169.08, 197.26, 225.44, 253.62, 281.8, 450.88
.net.bz, 28.18, 56.36, 84.54, 112.72, 140.9, 169.08, 197.26, 225.44, 253.62, 281.8, 450.88
.se.com, 29.0, 58.0, 87.0, 116.0, 145.0, 174.0, 203.0, 232.0, 261.0, 290.0, 724.96
.com.pt, 30.9, 61.8, 92.7, 123.6, 154.5, 185.4, 216.3, 247.2, 278.1, 309.0, 494.4
.com.ht, 31.05, 62.1, 93.15, 124.2, 155.25, 186.3, 217.35, 248.4, 279.45, 310.5, 496.8
.net.nz, 31.58, 63.16, 94.74, 126.32, 157.9, 189.48, 221.06, 252.64, 284.22, 315.8, 505.28
.sx, 33.35, 66.7, 100.05, 133.4, 166.75, 200.1, 233.45, 266.8, 300.15, 333.5, 533.6
.id, 34.95, 69.9, 104.85, 139.8, 174.75, 209.7, 244.65, 279.6, 314.55, 349.5, -
.me, 35.0, 70.0, 105.0, 140.0, 175.0, 210.0, 245.0, 280.0, 315.0, 350.0, 488.0
.club.tw, 35.19, 70.38, 105.57, 140.76, 175.95, 211.14, 246.33, 281.52, 316.71, 351.9, 563.04
.info.ec, 35.65, 71.3, 106.95, 142.6, 178.25, 213.9, 249.55, 285.2, 320.85, 356.5, 570.4
.med.ec, 35.65, 71.3, 106.95, 142.6, 178.25, 213.9, 249.55, 285.2, 320.85, 356.5, 570.4
.com.vc, 38.18, 76.36, 114.54, 152.72, 190.9, 229.08, 267.26, 305.44, 343.62, 381.8, 610.88
.net.vc, 38.18, 76.36, 114.54, 152.72, 190.9, 229.08, 267.26, 305.44, 343.62, 381.8, 610.88
.企业, 41.25, 82.5, 123.75, 165.0, 206.25, 247.5, 288.75, 330.0, 371.25, 412.5, -
.gb.com, 45.31, 90.62, 135.93, 181.24, 226.55, 271.86, 317.17, 362.48, 407.79, 453.1, 724.96
.hu.com, 45.31, 90.62, 135.93, 181.24, 226.55, 271.86, 317.17, 362.48, 407.79, 453.1, 724.96
.中国, 45.31, 90.62, 135.93, 181.24, 226.55, 271.86, 317.17, 362.48, 407.79, 453.1, 724.96
.co.kr, 48.0, 96.0, 144.0, 192.0, 240.0, 288.0, 336.0, 384.0, 432.0, 480.0, -
.kr, 48.0, 96.0, 144.0, 192.0, 240.0, 288.0, 336.0, 384.0, 432.0, 480.0, 768.0
.pe.kr, 48.0, 96.0, 144.0, 192.0, 240.0, 288.0, 336.0, 384.0, 432.0, 480.0, -
.ac, 50.61, 101.22, 151.83, 202.44, 253.05, 303.66, 354.27, 404.88, 455.49, 506.1, 809.76
.sh, 50.61, 101.22, 151.83, 202.44, 253.05, 303.66, 354.27, 404.88, 455.49, 506.1, 809.76
.co.gl, 51.26, 102.52, 153.78, 205.04, 256.3, 307.56, 358.82, 410.08, 461.34, 512.6, 820.16
.gl, 51.26, 102.52, 153.78, 205.04, 256.3, 307.56, 358.82, 410.08, 461.34, 512.6, 820.16
.net.gl, 51.26, 102.52, 153.78, 205.04, 256.3, 307.56, 358.82, 410.08, 461.34, 512.6, 820.16
.com.ms, 63.25, 126.5, 189.75, 253.0, 316.25, 379.5, 442.75, 506.0, 569.25, 632.5, 1.012
.com.so, 63.8, 127.6, 191.4, 255.2, 319.0, 382.8, 446.6, 510.4, 574.2, 638.0, -
.org.pe, 69.08, 138.16, 207.24, 276.32, 345.4, 414.48, 483.56, 552.64, 621.72, 690.8, 1.105
.net.ec, 70.5, 141.0, 211.5, 282.0, 352.5, 423.0, 493.5, 564.0, 634.5, 705.0, 1.128
.com.ag, 74.75, 149.5, 224.25, 299.0, 373.75, 448.5, 523.25, 598.0, 672.75, 747.5, 1.196
.net.ag, 74.75, 149.5, 224.25, 299.0, 373.75, 448.5, 523.25, 598.0, 672.75, 747.5, 1.196
.nom.ag, 74.75, 149.5, 224.25, 299.0, 373.75, 448.5, 523.25, 598.0, 672.75, 747.5, 1.196
.org.ag, 74.75, 149.5, 224.25, 299.0, 373.75, 448.5, 523.25, 598.0, 672.75, 747.5, 1.196
.nom.ro, 74.96, 149.92, 224.88, 299.84, 374.8, 449.76, 524.72, 599.68, 674.64, 749.6, 1.199
.org.ro, 74.96, 149.92, 224.88, 299.84, 374.8, 449.76, 524.72, 599.68, 674.64, 749.6, 1.199
.to, 75.0, 150.0, 225.0, 300.0, 375.0, 450.0, 525.0, 600.0, 675.0, 750.0, 1.2
.net.mu, 76.34, 152.68, 229.02, 305.36, 381.7, 458.04, 534.38, 610.72, 687.06, 763.4, 1.221
.off.ai, 77.25, 154.5, 231.75, 309.0, 386.25, 463.5, 540.75, 618.0, 695.25, 772.5, -
.hn, 81.65, 163.3, 244.95, 326.6, 408.25, 489.9, 571.55, 653.2, 734.85, 816.5, 1.306
.net.hn, 81.65, 163.3, 244.95, 326.6, 408.25, 489.9, 571.55, 653.2, 734.85, 816.5, 1.306
.tl, 89.54, 179.08, 268.62, 358.16, 447.7, 537.24, 626.78, 716.32, 805.86, 895.4, -
.is, 90.25, 180.5, 270.75, 361.0, 451.25, 541.5, 631.75, 722.0, 812.25, 902.5, 1.444
.net.sc, 97.75, 195.5, 293.25, 391.0, 488.75, 586.5, 684.25, 782.0, 879.75, 977.5, 1.564
.org.sc, 97.75, 195.5, 293.25, 391.0, 488.75, 586.5, 684.25, 782.0, 879.75, 977.5, 1.564
.net.je, 99.35, 198.7, 298.05, 397.4, 496.75, 596.1, 695.45, 794.8, 894.15, 993.5, 1.589
.org.gg, 99.35, 198.7, 298.05, 397.4, 496.75, 596.1, 695.45, 794.8, 894.15, 993.5, 1.589
.mobi.ng, 99.95, 199.9, 299.85, 399.8, 499.75, 599.7, 699.65, 799.6, 899.55, 999.5, -
.name.ng, 99.95, 199.9, 299.85, 399.8, 499.75, 599.7, 699.65, 799.6, 899.55, 999.5, -
.edu.ng, 99.99, 199.98, 299.97, 399.96, 499.95, 599.94, 699.93, 799.92, 899.91, 999.9, -
.sch.ng, 99.99, 199.98, 299.97, 399.96, 499.95, 599.94, 699.93, 799.92, 899.91, 999.9, -
.af, 103.5, 207.0, 310.5, 414.0, 517.5, 621.0, 724.5, 828.0, 931.5, 1.035, 1.656
.fm, 105.0, 210.0, 315.0, 420.0, 525.0, 630.0, 735.0, 840.0, 945.0, 1.05, -
.com.sb, 108.69, 217.38, 326.07, 434.76, 543.45, 652.14, 760.83, 869.52, 978.21, 1.086, 1.739
.mu, 115.34, 230.68, 346.02, 461.36, 576.7, 692.04, 807.38, 922.72, 1.038, 1.153, 1.845
.jobs, 133.4, 266.8, 400.2, 533.6, 667.0, 800.4, 933.8, 1.067, 1.2, 1.334, 2.134
.acct.pro, 182.85, 365.7, 548.55, 731.4, 914.25, 1.097, 1.279, 1.462, 1.645, 1.828, -
.avocat.pro, 182.85, 365.7, 548.55, 731.4, 914.25, 1.097, 1.279, 1.462, 1.645, 1.828, -
.law.pro, 182.85, 365.7, 548.55, 731.4, 914.25, 1.097, 1.279, 1.462, 1.645, 1.828, 2.925
.recht.pro, 182.85, 365.7, 548.55, 731.4, 914.25, 1.097, 1.279, 1.462, 1.645, 1.828, -
.co.mg, 198.87, 397.74, 596.61, 795.48, 994.35, 1.193, 1.392, 1.59, 1.789, 1.988, 3.181
.mg, 198.87, 397.74, 596.61, 795.48, 994.35, 1.193, 1.392, 1.59, 1.789, 1.988, 3.181
.org.mg, 198.87, 397.74, 596.61, 795.48, 994.35, 1.193, 1.392, 1.59, 1.789, 1.988, 3.181
.info.ki, 253.61, 507.22, 760.83, 1.014, 1.268, 1.521, 1.775, 2.028, 2.282, 2.536, 4.057
.org.ki, 253.61, 507.22, 760.83, 1.014, 1.268, 1.521, 1.775, 2.028, 2.282, 2.536, 4.057
